Value;Shortcut;Kategory;Implemented since;Comment;EdeText
0;m²;Area;From beginning?;;square-meters
1;;Area;From beginning?;;square-feet
2;mA;Electrical;From beginning?;;milliamperes
3;A;Electrical;From beginning?;;amperes
4;O;Electrical;From beginning?;;ohms
5;V;Electrical;From beginning?;;volts
6;kV;Electrical;From beginning?;;kilovolts
7;MV;Electrical;From beginning?;;megavolts
8;VA;Electrical;From beginning?;;volt-amperes
9;kVA;Electrical;From beginning?;;kilovolt-amperes
10;MVA;Electrical;From beginning?;;megavolt-amperes
11;var;Electrical;From beginning?;;volt-amperes-reactive
12;kvar;Electrical;From beginning?;;kilovolt-amperes-reactive
13;Mvar;Electrical;From beginning?;;megavolt-amperes-reactive
14;;Electrical;From beginning?;;degrees-phase
15;cos;Electrical;From beginning?;;power-factor
16;J;Energy;From beginning?;;joules
17;kJ;Energy;From beginning?;;kilojoules
18;Wh;Energy;From beginning?;;watt-hours
19;kWh;Energy;From beginning?;;kilowatt-hours
20;btus;Energy;From beginning?;;btus
21;;Energy;From beginning?;;therms
22;;Energy;From beginning?;;ton-hours
23;J/kg;Enthalpy;From beginning?;;joules-per-kilogram-dry-air
24;;Enthalpy;From beginning?;;btus-per-pound-dry-air
25;1/h;Frequency;From beginning?;;cycles-per-hour
26;1/min;Frequency;From beginning?;;cycles-per-minute
27;Hz;Frequency;From beginning?;;hertz
28;g/kg tr. Luft;Humidity;From beginning?;;grams-of-water-per-kilogram-dry-air
29;% r. F.;Humidity;From beginning?;;percent-relative-humidity
30;mm;Length;From beginning?;;millimeters
31;m;Length;From beginning?;;meters
32;;Length;From beginning?;;inches
33;;Length;From beginning?;;feet
34;;Light;From beginning?;;watts-per-square-foot
35;W/m²;Light;From beginning?;;watts-per-square-meter
36;lm;Light;From beginning?;;lumens
37;lx;Light;From beginning?;;luxes
38;;Light;From beginning?;;foot-candles
39;kg;Mass;From beginning?;;kilograms
40;;Mass;From beginning?;;pounds-mass
41;t;Mass;From beginning?;;tons
42;kg/s;Mass Flow;From beginning?;;kilograms-per-second
43;kg/min;Mass Flow;From beginning?;;kilograms-per-minute
44;kg/h;Mass Flow;From beginning?;;kilograms-per-hour
45;;Mass Flow;From beginning?;;pounds-mass-per-minute
46;;Mass Flow;From beginning?;;pounds-mass-per-hour
47;W;Power;From beginning?;;watts
48;kW;Power;From beginning?;;kilowatts
49;MW;Power;From beginning?;;megawatts
50;;Power;From beginning?;;btus-per-hour
51;PS;Power;From beginning?;;horsepower
52;;Power;From beginning?;;tons-refrigeration
53;Pa;Pressure;From beginning?;;pascals
54;kPa;Pressure;From beginning?;;kilopascals
55;bar;Pressure;From beginning?;;bars
56;;Pressure;From beginning?;;pounds-force-per-square-inch
57;;Pressure;From beginning?;;centimeters-of-water
58;;Pressure;From beginning?;;inches-of-water
59;mm;Pressure;From beginning?;;millimeters-of-mercury
60;;Pressure;From beginning?;;centimeters-of-mercury
61;;Pressure;From beginning?;;inches-of-mercury
62;°C;Temperature;From beginning?;;degrees-celsius
63;K;Temperature;From beginning?;;degrees-kelvin
64;;Temperature;From beginning?;;degrees-fahrenheit
65;K d/c;Temperature;From beginning?;;degree-days-celsius
66;;Temperature;From beginning?;;degree-days-fahrenheit
67;a;Time;From beginning?;;years
68;Monat;Time;From beginning?;;months
69;Woche;Time;From beginning?;;weeks
70;d;Time;From beginning?;;days
71;h;Time;From beginning?;;hours
72;min;Time;From beginning?;;minutes
73;s;Time;From beginning?;;seconds
74;m/s;Velocity;From beginning?;;meters-per-second
75;km/h;Velocity;From beginning?;;kilometers-per-hour
76;;Velocity;From beginning?;;feet-per-second
77;;Velocity;From beginning?;;feet-per-minute
78;;Velocity;From beginning?;;miles-per-hour
79;;Volume;From beginning?;;cubic-feet
80;m³;Volume;From beginning?;;cubic-meters
