Vendor ID,Property ID,Property Name
197,512,(Bosch) Custom_Items
197,513,(Bosch) Vendor_Object_Name
197,514,(Bosch) Signal_Id
197,515,(Bosch) Read_Level
197,516,(Bosch) Write_Level
197,517,(Bosch) Decimal_Places
197,518,(Bosch) Hidden
197,519,(Bosch) Application_Start_Delay
197,520,(Bosch) Application_State
197,521,(Bosch) Adjustment_Offset
197,522,(Bosch) Filter_Constant
197,523,(Bosch) Enabling_Delay
197,524,(Bosch) Output_Deadband
415,512,(Beckhoff) Scale_Offset (REAL)
415,513,(Beckhoff) Io_Bus_Nr (Unsigned)
415,514,(Beckhoff) Io_Module_Nr (Unsigned)
415,515,(Beckhoff) Io_Channel_Nr (Unsigned)
415,516,(Beckhoff) Persist_Data (Enumerated)
415,517,(Beckhoff) Active_Priority (Unsigned)
415,518,(Beckhoff) LastConfirmedServiceAccess (Character String)
415,519,(Beckhoff) Data_Request_Mode (Enumerated)
415,520,(Beckhoff) Data_Polling_Interval (Unsigned)
415,521,(Beckhoff) EnrollmentCov_Resubscription_Interval (Unsigned)
415,522,(Beckhoff) File_Name (Character String)
415,523,(Beckhoff) Process_Id (Unsigned)
415,524,(Beckhoff) PLC_SymbolName (Character String)
415,525,(Beckhoff) UseUnconfirmedCoV (Boolean)
9,3000,(Siemens) User designation
9,3001,(Siemens) Reference to higher object
9,3002,(Siemens) Interface list
9,3003,(Siemens) Local list
9,3004,(Siemens) Hierarchy list
9,3005,(Siemens) Element type
9,3006,(Siemens) Object tag
9,3007,(Siemens) Function name
9,3008,(Siemens) Low value
9,3009,(Siemens) High value
9,3010,(Siemens) Parameter kind
9,3011,(Siemens) Alarm enable
9,3013,(Siemens) Locked
9,3014,(Siemens) Time of acknowledgement
9,3015,(Siemens) Acknowledgement signature
9,3016,(Siemens) Message text
9,3017,(Siemens) Slope
9,3018,(Siemens) Intercept
9,3019,(Siemens) Input/Output address
9,3021,(Siemens) Commissioning state
9,3022,(Siemens) Name reference
9,3023,(Siemens) Feedback address
9,3025,(Siemens) Destination list
9,3026,(Siemens) Site name
9,3028,(Siemens) Primary device
9,3029,(Siemens) Last engineering time for global objects
9,3030,(Siemens) Last online modification time for global objects
9,3033,(Siemens) Synchronisation request period
9,3034,(Siemens) Program modification time
9,3035,(Siemens) Minimum cycle time
9,3036,(Siemens) Maximum cycle time
9,3037,(Siemens) Cycle time statistics
9,3038,(Siemens) Memory statistics
9,3039,(Siemens) Communication statistics
9,3040,(Siemens) Serial line statistics
9,3041,(Siemens) Diagnostics
9,3042,(Siemens) Main value
9,3043,(Siemens) Access class
9,3044,(Siemens) Maximum size
9,3045,(Siemens) Minimum size
9,3046,(Siemens) Enable operating hours count
9,3047,(Siemens) Limit value for operating hours
9,3048,(Siemens) Total operating hours
9,3049,(Siemens) Shadow device-object ID
9,3050,(Siemens) Shadow device-object name
9,3052,(Siemens) Maintenance date
9,3053,(Siemens) Feedback polarity
9,3054,(Siemens) Feedback slope
9,3055,(Siemens) Feedback intercept
9,3056,(Siemens) Exception
9,3057,(Siemens) Next value
9,3058,(Siemens) Next time
9,3059,(Siemens) Parameter list
9,3060,(Siemens) List of name references
9,3061,(Siemens) Start date for daylight saving time
9,3062,(Siemens) Start time for daylight saving time
9,3063,(Siemens) End date for daylight saving time
9,3064,(Siemens) End time for daylight saving time
9,3066,(Siemens) Operating hours message
9,3067,(Siemens) Maintenance indication
9,3068,(Siemens) Pres.operating hours
9,3069,(Siemens) Maximum count of instructions
9,3070,(Siemens) Reclaim time
9,3072,(Siemens) Yesterday's value
9,3073,(Siemens) Next date
9,3074,(Siemens) Visibility
9,3075,(Siemens) Server type
9,3076,(Siemens) Name resolution interval
9,3077,(Siemens) Shadow for APDU segment timeout
9,3078,(Siemens) Shadow for APDU timeout
9,3079,(Siemens) Shadow for maximum APDU length accepted
9,3080,(Siemens) Shadow for number of APDU retries
9,3081,(Siemens) Global
9,3082,(Siemens) Startup statistics
9,3083,(Siemens) Date and time subtype
9,3084,(Siemens) Users
9,3085,(Siemens) User groups
9,3086,(Siemens) Scope of access
9,3087,(Siemens) Last modification
9,3088,(Siemens) Group reference
9,3089,(Siemens) Maximum number of call repetitions
9,3090,(Siemens) Termination time setting
9,3091,(Siemens) Remote access password
9,3092,(Siemens) Comm. interface list
9,3093,(Siemens) Connection list
9,3094,(Siemens) Modem statistics
9,3095,(Siemens) Modem settings
9,3096,(Siemens) Modem status
9,3097,(Siemens) Manual connection request
9,3098,(Siemens) Network number
9,3099,(Siemens) Alarm priority limit
9,3100,(Siemens) Tomorrow
9,3101,(Siemens) Day after tomorrow
9,3102,(Siemens) Interval
9,3103,(Siemens) Last alarm or event message
9,3104,"(Siemens) Group members, list of commanded group objects"
9,3105,"(Siemens) Room members, list of commanded rooms"
9,3106,(Siemens) Favorites menu line
9,3107,(Siemens) Monitoring time switch-on
9,3108,(Siemens) Monitoring time switch-off
9,3109,(Siemens) I/O statistics
9,3110,(Siemens) Switch-on delay
9,3111,(Siemens) Switch-off delay
9,3113,(Siemens) Common alarm reference
9,3114,(Siemens) Alarm class
9,3115,(Siemens) Step up
9,3116,(Siemens) Step down
9,3117,(Siemens) Present power
9,3118,(Siemens) Controlled power
9,3119,(Siemens) IP parameters
9,3120,(Siemens) Substitution value
9,3121,(Siemens) Description list
9,3122,(Siemens) Alarm function
9,3123,(Siemens) Heartbeat
9,3124,(Siemens) Output threshold
9,3125,(Siemens) Error list
9,3126,(Siemens) Polling time
9,3127,(Siemens) Event count
